Scan ID,Theta,extra,Unnamed: 3
187491,-130,,
187493,-129,,
187495,-128,,
187497,-127,,
187499,-126,,
187501,-125,,
187503,-124,,
187505,-123,,
187507,-122,,
187509,-121,,
187511,-120,,
187513,-119,,
187515,-118,,
187517,-117,,
187519,-116,,
187521,-115,,
187523,-114,,
187525,-113,,
187527,-112,,
187529,-111,,
187531,-110,,
187533,-109,,
187535,-108,,
187539,-106,,
187541,-105,,
187543,-104,,
187545,-103,,
187547,-102,,
187549,-101,,
187551,-100,,
187553,-99,,
187555,-98,,
187557,-97,,
187559,-96,,
187561,-95,,
187563,-94,,
187565,-93,,
187567,-92,,
187569,-91,,
187571,-90,,187309?
187311,-89,,
187313,-88,,
187315,-87,,
187317,-86,,
187319,-85,,
187321,-84,,
187323,-83,,
187325,-82,,
187327,-81,,
187329,-80,,
187331,-79,,
187333,-78,,
187335,-77,,
187337,-76,,
187339,-75,,
187341,-74,,
187343,-73,,
187345,-72,,
187347,-71,,
187349,-70,,
187351,-69,,
187353,-68,,
187355,-67,,
187357,-66,,
187359,-65,,
187361,-64,,
187363,-63,,
187365,-62,,
187367,-61,,
187369,-60,,
187371,-59,,
187373,-58,,
187375,-57,,
187381,-54,,
187383,-53,,
187385,-52,,
187387,-51,,
187389,-50,,
187391,-49,,
187393,-48,,
187395,-47,,
187397,-46,,
187399,-45,,
187401,-44,,
187403,-43,,
187405,-42,,
187407,-41,,
187409,-40,,
187411,-39,,
187413,-38,,
187415,-37,,
187417,-36,,
187419,-35,,
187421,-34,,
187423,-33,,
187425,-32,,
187427,-31,,
187429,-30,,
187431,-29,,
187433,-28,,
187435,-27,,
187437,-26,,
187439,-25,,
187441,-24,,
187443,-23,,
187445,-22,,
187447,-21,,
187449,-20,,
187451,-19,,
187453,-18,,
187455,-17,,
187457,-16,,
187459,-15,,
187461,-14,,
187463,-13,,
187465,-12,,
187467,-11,,
187469,-10,,
187471,-9,,
187473,-8,,
187475,-7,,
187477,-6,,
187479,-5,,
187481,-4,,
187483,-3,,
187485,-2,,
187487,-1,,
187489,0,,
